CalendarMonth,Network,Station,TXMarket,Period,RevenueOrder,RevenueGroup,MktCurrent,MktPrevious,MktGrowth%,StnCurrent,StnPrevious,StnGrowth%,MktShrCurrent,MktShrPrevious,RankCurrent,#StnsCurrent,RankPrevious,NumStnsPrevious,RevGroupDesc
2021M10,ARN,Cruise-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,155.2026343,257.9488932,-0.398320216,0.018685774,0.038357485,6,6,6,6,Sydney TotalAgency
2021M10,ARN,MIX102.3-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,2626.223463,2975.292033,-0.117322457,0.316186757,0.442431512,1,6,1,6,Sydney TotalAgency
2021M10,Nova,5aa-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,795.8370881,988.5868517,-0.194975043,0.095815589,0.147004721,5,6,5,6,Sydney TotalAgency
2021M10,Nova,Nova919-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,2599.695774,2401.671252,0.082452801,0.31299293,0.357133025,2,6,2,6,Sydney TotalAgency
2021M10,SCA,Hit107-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,1210.702365,1866.161675,-0.351233936,0.145763702,0.277501745,4,6,3,6,Sydney TotalAgency
2021M10,SCA,MMM-Ade (DUMMY),Ade,CYTD,3,Syd_TotalAgency,8305.924912,6724.864646,0.23510663,1763.647616,1221.942057,0.443315258,0.21233609,0.181705078,3,6,4,6,Sydney TotalAgency
2021M10,ARN,Cruise-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,70.47251781,83.49794449,-0.155996974,0.014801708,0.01520939,6,6,6,6,Sydney TotalAgency
2021M10,ARN,MIX102.3-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,1214.922895,1780.593562,-0.317686573,0.255176543,0.324340227,1,6,1,6,Sydney TotalAgency
2021M10,Nova,5aa-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,365.604095,553.9656863,-0.340023933,0.07678972,0.100906439,5,6,5,6,Sydney TotalAgency
2021M10,Nova,Nova919-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,1013.874919,969.9586801,0.045276402,0.212949396,0.176680757,2,6,2,6,Sydney TotalAgency
2021M10,SCA,Hit107-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,518.0833777,663.95656,-0.219702901,0.108815733,0.120941593,4,6,3,6,Sydney TotalAgency
2021M10,SCA,MMM-Ade (DUMMY),Ade,FYTD,3,Syd_TotalAgency,4761.107281,5489.894302,-0.132750647,615.8735903,528.5432201,0.165228437,0.129355117,0.096275664,3,6,4,6,Sydney TotalAgency
2021M10,ARN,Cruise-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,22.26180643,33.71013835,-0.339610944,0.015308651,0.039514385,6,6,6,6,Sydney TotalAgency
2021M10,ARN,MIX102.3-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,309.8360157,297.7388965,0.040629959,0.213063192,0.349003886,1,6,1,6,Sydney TotalAgency
2021M10,Nova,5aa-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,117.3762301,120.9802718,-0.029790326,0.080715453,0.141810779,5,6,5,6,Sydney TotalAgency
2021M10,Nova,Nova919-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,301.7957102,191.9726853,0.572076307,0.20753416,0.22502674,2,6,2,6,Sydney TotalAgency
2021M10,SCA,Hit107-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,189.7499342,144.7400071,0.310970878,0.130484271,0.16966149,3,6,3,6,Sydney TotalAgency
2021M10,SCA,MMM-Ade (DUMMY),Ade,Month,3,Syd_TotalAgency,1454.197757,853.1105493,0.704583021,175.8399846,145.3052243,0.210142206,0.120918894,0.170324027,4,6,4,6,Sydney TotalAgency
2021M10,ARN,4KQ-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,647.0174674,723.9859992,-0.106312183,0.024191355,0.031898607,6,8,6,8,Sydney TotalAgency
2021M10,ARN,New97.3-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,6751.397757,7461.138459,-0.095124987,0.252428203,0.32873553,2,8,2,8,Sydney TotalAgency
2021M10,NineRadio,4BC-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,1588.629705,1179.954269,0.346348538,0.059397321,0.051988432,5,8,5,8,Sydney TotalAgency
2021M10,NineRadio,4BH-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,20.24819322,53.89081954,-0.624273793,0.00075706,0.002374413,7,8,7,8,Sydney TotalAgency
2021M10,Nova,Nova1069-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,7567.61598,5489.787104,0.378489883,0.282945809,0.241878379,1,8,1,8,Sydney TotalAgency
2021M10,SCA,b105-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,6076.716614,5449.288559,0.115139444,0.227202531,0.240094025,4,8,3,8,Sydney TotalAgency
2021M10,SCA,MMM-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,4373.326899,4261.091144,0.026339675,0.163514444,0.187742402,3,8,4,8,Sydney TotalAgency
2021M10,TAB,4TAB-Bri (DUMMY),Bri,CYTD,3,Syd_TotalAgency,26745.81397,22696.47719,0.178412568,0,0,0,0,0,8,8,8,8,Sydney TotalAgency
2021M10,ARN,4KQ-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,292.2702428,219.1601897,0.33359185,0.017763291,0.017872994,6,8,6,8,Sydney TotalAgency
2021M10,ARN,New97.3-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,2881.763851,3365.515026,-0.143737637,0.175144784,0.274465132,2,8,2,8,Sydney TotalAgency
2021M10,NineRadio,4BC-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,796.9006991,486.8555661,0.636831855,0.048433185,0.039704139,5,8,5,8,Sydney TotalAgency
2021M10,NineRadio,4BH-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,9.297479679,6.526735009,0.424522317,0.000565072,0.00053227,7,8,7,8,Sydney TotalAgency
2021M10,Nova,Nova1069-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,2929.422046,3605.162154,-0.187436814,0.178041303,0.29400888,1,8,1,8,Sydney TotalAgency
2021M10,SCA,b105-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,2144.346618,1553.48687,0.380344218,0.130326822,0.126690261,4,8,3,8,Sydney TotalAgency
2021M10,SCA,MMM-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,2540.220675,1532.254597,0.657831981,0.154386835,0.124958723,3,8,4,8,Sydney TotalAgency
2021M10,TAB,4TAB-Bri (DUMMY),Bri,FYTD,3,Syd_TotalAgency,16453.60935,12262.08592,0.341827928,0,0,0,0,0,8,8,8,8,Sydney TotalAgency
2021M10,ARN,4KQ-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,44.53754208,88.96878427,-0.4994026,0.017398419,0.033037298,6,8,6,8,Sydney TotalAgency
2021M10,ARN,New97.3-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,553.9262175,829.0904037,-0.33188683,0.216389146,0.307870979,2,8,2,8,Sydney TotalAgency
2021M10,NineRadio,4BC-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,188.2369192,140.4058867,0.340662586,0.073534028,0.052137737,5,8,5,8,Sydney TotalAgency
2021M10,NineRadio,4BH-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,1.805720568,2.751035755,-0.343621556,0.000705398,0.001021558,7,8,7,8,Sydney TotalAgency
2021M10,Nova,Nova1069-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,1161.723107,1170.930912,-0.007863663,0.453822663,0.43480861,1,8,1,8,Sydney TotalAgency
2021M10,SCA,b105-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,930.0969278,726.8273312,0.279666969,0.363338787,0.269897035,3,8,3,8,Sydney TotalAgency
2021M10,SCA,MMM-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,757.3537086,376.5351176,1.011376026,0.295857313,0.139820983,4,8,4,8,Sydney TotalAgency
2021M10,TAB,4TAB-Bri (DUMMY),Bri,Month,3,Syd_TotalAgency,2559.861376,2692.980047,-0.049431733,0,0,0,0,0,8,8,8,8,Sydney TotalAgency
2021M10,ACE,3MP-Mel (DUMMY),Mel,CYTD,3,Syd_TotalAgency,50596.56528,35098.28282,0.441568111,53.18483195,18.15148518,1.93005401,0.001051155,0.000517162,9,11,10,11,Sydney TotalAgency
2021M10,ARN,GOLD104.3-Mel (DUMMY),Mel,CYTD,3,Syd_TotalAgency,50596.56528,35098.28282,0.441568111,8687.988969,7480.563977,0.161408284,0.171711042,0.213131908,2,11,3,11,Sydney TotalAgency
2021M10,ARN,KIIS101.1-Mel (DUMMY),Mel,CYTD,3,Syd_TotalAgency,50596.56528,35098.28282,0.441568111,4854.124288,3297.08035,0.472249315,0.095937822,0.093938509,7,11,7,11,Sydney TotalAgency
2021M10,NineRadio,3AW-Mel (DUMMY),Mel,CYTD,3,Syd_TotalAgency,50596.56528,35098.28282,0.441568111,6023.358109,5350.40233,0.125776668,0.119046779,0.152440573,3,11,4,11,Sydney TotalAgency
2021M10,NineRadio,Magic1278-Mel (DUMMY),Mel,CYTD,3,Syd_TotalAgency,50596.56528,35098.28282,0.441568111,36.8104002,31.4406003,0.170791901,0.000727528,0.000895787,10,11,9,11,Sydney TotalAgency
